company,address,city,telephone,type,description
PT. GANERIN,Pusat Niaga Roxy Mas blok B2 no. 24,Jakarta Pusat • Jakarta,,bahan-bangunan,"Integritas dalam kualitas dan pelayanan adalah fokus kami bagi para pelanggan kami yang terhormat.
 Membangun hubungan bisnis yang sehat, mendukung, terpercaya, dan saling menguntungkan adalah tujuan utama kami."
bengkel las rafi utama,jl. Serua Bulak Rt 02/03 kel. Pondok Petir Pamulang Tanggerang Selatan Bante,Tangerang Selatan • Banten,,bahan-bangunan,"Bengkel las yang bergerak dibidang pengelasan, ( Las Listrik, Las Stainless/argon, Las Assetelin, Las Tembaga, Las Karbit ) dan mengerjakan berbagai macam kebutuhan property rumah anda, seperti : Teralis Pagar Besi Pintu Besi Kanopi Railing Tangga dll BENGKEL LAS RAFI UTAMA BERDIRI TAHUN 1999 dengan"
WINAPACK,Jl. Nangka 265 A Seruni Gedanga,Sidoarjo • Jawa Timur,,bahan-bangunan,"Packaging Machine / Packing Machine/ Mesin Packaging / Mesin Packing/ Mesin Pengemas / Mesin Pembungkus / Mesin Kemasan / Mesin Sachet/ Mesin Packing Snack / Mesin Usaha / Mesin Industri / MESIN PENGEMAS / MESIN PACKAGING / MESIN PACKING / MESIN SACHET.
 
 Packaging Machine di gunakan untuk membungk"
UD. Dapur Teknik,Driyorejo,Gresik • Jawa Timur,,bahan-bangunan,"Kami bengkel UD.Dapur Teknik siap membantu anda dalam memenuhi kebutuhan mesin dengan teknologi tepat guna skala kecil / skala home industri dengan harga terjangkau dan tentunya dapat memenuhi kebutuhan mesin untuk menunjang kebutuhan usaha anda.
 Bengkel kami mengerjakan pekerjaan las stainless, be"
Peralatan Listrik Explosion Proof Indonesia,"Jl. Palem V/2, Karawaci, Tangerang","Tangerang, Jakarta, Palembang, Medan, Pekan barau, cirebon • Banten",,bahan-bangunan,"Jual Peralatan Listrik EXPLOSION PROOF
EXPLOSION PROOF electric equipment
Brand kami adalah SUPERMEC INDONESIA, EUROMOTORI Indonesia, J' Auer, GEWISS INDONESIA, COSIME INDONESIA, CROUSE HINDS, A.T.X, APPLETON, CO.SI.ME, ASP, ADS, peperl fuchs, Hawke, MOSER SYSTEME"
Indonesianstones,Jl. BKR Pelajar 48,Surabaya • Jawa Timur,,bahan-bangunan,"Indonesianstones adalah supplier berbagai loose pebble dan gravel, batu alam, mosaic tile, baik untuk pasar lokal ataupun eksport, antara lain batu putih kupang ( WPK) , batu hijau, batu merah sakit, batu hitam alor, pasir pancawarna ( AK) , pasir hijau, pasir krem ( AP) , pasir merah, pasir hitam a"
CV. JANAMEJAYA INDO MAKMUR,Jl. Raya Kedoya no.04 Kedoya selata,Jakarta Barat • Jakarta,,bahan-bangunan,"Janamejaya Indo Makmur merupakan perusahaan yang bergerak dalam bidang penyediaan bahan Kontruksi bangunan yang berlokasi di Jakarta, Indonesia. JIM menyediakan bahan konstruksi bangunan ( Building Construction ) kususnya di kontruksi perumahan.
 
 ” Kepuasan Pembeli Adalah Prioritas kami ” 
 
 ” Ke"
UD.roni wijaya,"jl,semarang -demak km.19 desa karang towo,karangtengah,demak, jawa tengah",demak • Jawa Tengah,,bahan-bangunan,"Kami menerima dan menjual kertas semen bekas dalam kapasitas 100 ton/ bulan dengan kriteria : bersih, kering tidak tercampur matreal lain ( plastik, kardus, duplek, sak, noblen, laminasi, dan lain-lain)"
CV.KAYU ALAM RAYA,Jl. Janur Indah Vii Blok La.20 No.17,jakarta utara •,,bahan-bangunan,"CV.KAYU ALAM RAYA adalah perusahan yang bergerak dalam bidang
 Perdagangan Kayu dan Galangan Kapal Kayu yang berdiri sejak tahun 1994, yang telah mempunyai banyak mitra kerja berpengalaman di bidangnya, mulai industri wood working ( furniture / Mebel ) , industri perkayuan ( pintu & Kusen ) , inter"
KRIDA - Manpower Solutions,"Jl. Ponpes KH. Solikhin Brebes, Jawa Tengah",Brebes • Jawa Tengah,,bahan-bangunan,"---------------------------------------------------------------------------- --------------------------------------------------------------
 Terimakasih atas kunjungan Anda di situs perusahaan kami, http: / / krida-mps.indonetwork.co.id
 ------------------------------------------------ -------------"
PT. ANODONTA WOODIANA,Jl. Ir. H. Juanda No. 5,Bekasi • Jawa Barat,,bahan-bangunan,"Kami Perusahaan yang bergerak Dibidang Penambangan Pasir Besi Kadar fe 54.28% belum disparator, dan Batu Galena, yang memiliki Pertambangan di Sukabumi, Tasikmalaya, Lampung dan Gayo ( Aceh) ., untuk informasi hub : 33441242, kirimkan surat minal ( LOI) ke anodontawoodiana.gmail.com, ditunggu atensi"
PT.YASA GUNA PUTERA,"Kantor Pusat: 
Gedung IS PLAZA Kavling 155 Jalan Raya Pramuka Sari - Jakrta Timur
Kantor Cabang :
Gedung Ruko 96F Bursa Sajadah - Jalan raya Sahardjo - Jakarta Selata",Jakarta • DKI Jakarta,,bahan-bangunan,"PERUSAHAAN  PEMBIAYAAN- FUNDING PROJECT : Pertambangan(Emas,Nikel,Batubara,Mangan,pasir,batu Besi,minyakdangas), Property ( mall, Apartement and Cluster Property) and Infra Structur( Toll Road and Harbour, Aero Space Station) with Agrobusines and Fish Manufacture.
 
Pe"
ALPINA ADVERTISING,"Jl. Sawah Balong No. 37 Kembangan, Jakarta Barat",JAKARTA •,,bahan-bangunan,"ALPINA ADVERTISING specialist jasa pembuatan huruf timbul/ signbox jakarta dengan workshop sendiri kami siap 24 jam produksi
 * HURUF TIMBUL
 Galvanil
 Acrylic
 Brass ( Kuningan) 
 Stainless Steel ( Mirror / Hairline) 
 * NEON BOX
 * NEON SIGN
 * SIGN BOX
 * LED
 * BILLBOARD
 * CUTTING ST"
PT.STEEL JAYA MANDIRI,"Komp. Ruko Segitiga No.19 D, Jln.Senen Raya",Jakarta Pusat • Jakarta,,bahan-bangunan,"Kami merupakan Supplier yang menyediakan keperluan industri, kebutuhan baja, dan juga kebutuhan material konstruksi, yaitu seperti : 
 Besi Beton; WF Beam, H Beam, I-Beam, Besi Siku, 
 UNP( U-channel) , CNP ( C-channel) , Plate Besi Bordes, etc.; 
 S45C, ST41, dalam bentuk Roundbar; 
 SS400, A36 dal"
SekarManis - Citarasa Group,Jln. Raya Wonorejo No.69 Sumbergempol Tulungagung,Tulungagung • Jawa Timur,,bahan-bangunan,"Kami merupakan produsen gula merah yang terbuat dari nira kelapa, aren dan tebu murni yang berlokasi di tulungagung - jawa timur. Berdiri sejak th. 1980 merupakan pengalaman bagi kami untuk membuat produk berkualitas dengan bahan bermutu serta bersertifikat halal. Untuk mengembangkan pemesaran produ"
PT.Envicon Ekatama,"Jl.Inspeksi Kalimalang, Karang Mulya, Teluk Jambe",Karawang • Jawa Barat,,bahan-bangunan,
CV. AURA BALI,"Jln. Nusa Indah XIII A no. 2B, Sumerta",Denpasar • Bali,,bahan-bangunan,"Kami bergerak di bidang desain rumah atau kantor. Termasuk pekerjaan sipil lainnya seperti pembuatan pagar, selokan irigasi/ drainase serta finishing bangunan. Jangan segan-segan untuk menghubungi kami guna untuk mendapatkan jasa dengan harga yang bersahabat dan service yang memuaskan."
UD.Anugrah Persada Utama,Jl.Gayungsari 1 No 81,Surabaya • Jawa Timur,,bahan-bangunan,"Jasa dekorasi rumah / hotel / apartemen / kantor
 
 1. Distributor ONNA Window Fashion
 - Roller Blinds
 - Rainbow Blinds
 - Shadow Blinds
 - Vitrom Blinds
 - Honeycomb Blinds
 - Roman Shades Blinds
 - Slimline dan Wooden Blinds
 - Suntex Blinds
 - Vitrom Blinds
 - Motorized ( window pakai remote)"
Billitone Ritelteam,"Kelapa Kampit, Desa pembaharua",Tanjung Pandan • Kepulauan Bangka Belitung,,bahan-bangunan,"Perusahan yg bergerak dibidang retail, menyediakan perlengkapan minimarket dan jasa kolsultan manajemen minimarket"
BAJAMERAH,"Jalan Raya Sidan, Sidan -Gianyar",Gianyar • Bali,,bahan-bangunan,Perusahaan yang bergerak pada usaha las dan konstruksi
PT.BANGUNAN JAYA,"Jl. Raya Mangga Dua Ruko Bahan Bangunan Bl F-4/1-3 Mangga Dua Selatan, Sawah Besar Jakarta Pusat",Jakarta Pusat •,087884515051,bahan-bangunan,"PT.BANGUNAN JAYATelp WA.087884515051 Penjelasan Ringkas Kami adalah distributor bahan bangunan yang mengutamakan pelayanan terbaik untuk konsumen dengan harga yang kompetitif dan bersaing dengan yang lain, Kami berpengalaman dan sudah berdiri puluhan tahun dari tahun 1980-an hingga sekarang moto dan"
CV. Rimba Jaya Raya II,Jl. Terusan Jakarta No.12 Antapani,Bandung • Jawa Barat,,bahan-bangunan,"Perusahaan Kami Bergerak Di Bidang Industri Kayu
 Menerima Pesanan Kusen, Jendela, Pintu dll
 Jual Berbagai Jenis Kayu Sebrang : Meranti, Kruwing dan Lain-lain
 Kayu Jati dan Mahoni"
PUTRA TAJUR MANDIRI,0,Bogor • Jawa Barat,,bahan-bangunan,"Menjual :  Paving block, K"
CV. Mandiri Putra Jaya,"Perum Villa Mutiara Jaya, MB 8A no.1, Wanajaya, Cibitung",Bekasi • Jakarta,,bahan-bangunan,"Perkenalkan Kami CV. Mandiri Putra Jaya, berkedudukan di Bekasi dan didirikan pada tahun 2008. Berafiliasi dengan Mutiara Jaya Trading, dalam hal ini bergerak sebagai General Trading.
 
 Kami adalah Perusahaan yang mengkhususkan diri dalam Pembuatan/ Manufaktur/ Produksi : Asphaltic Plug Expantion J"
ARTHA INDOCARE COrp,Kalimalang 274,jaktim • Jakarta,,bahan-bangunan,
PT.GUNUNG MADU INDUSTRI,"Jl.Jend. Sudirman KM 3,7, NO 79 EB.PALEMBANG Sumetra Selata",PALEMBANG • Sumatera Selatan,,bahan-bangunan,"PT.GUNUNG MADU INDUSTRI,   Kami Distributor yang bergerak dalam penyediaan gula pasir Dan Sembako lain nya."
PT. BUANA DAYA PERKASA,"Head Office : Jl. Cikawao No.58 Bandung
Opr. Office   : Komplek istana kawaluyaan
                     Jl. Kawaluyaan Indah XVII No.14 Bandung
",Bandung • Jawa Barat,,bahan-bangunan,"PT. Buana Daya Perkasa bergerak dbidang chemical constructive untuk skala kecil, menengah dan besar diindonesia, dengan dukungan dari tenaga-tenaga ahli yang teruji dan berpengalaman dibidangnya, dan dengan kepercayaan besar yang diberikan oleh para klien kami, kami selalu berusahaa memberikan pelay"
HASLINDA MAKMUR,Jl. H. Hasbi 24C,Jakarta Timur • Jakarta,,bahan-bangunan,"Kami Melayani Pasang Pintu Kusen, Pasang Jendela Pintu, Pasang Pintu Aluminium
 
 Banyak pertanyaan mengenai bagaimana cara “ pasang pintu kusen, pasang jendela pintu, pasang pintu aluminium” . Sebagai contoh sebagian orang menganggap bahwa dengan mereka memilih pasang pintu kusen aluminium lebih su"
FURNITURE TIGA SAUDARA,Kampar-Riau,pekanbaru • Riau,,bahan-bangunan,"produksi pintu dan jendela berkualitas tinggi (minimalis & ukir) terbuat dari kayu berkualitas dikerjakan oleh tangan2 terampil jepara dengan pengecatan duco color, dilapisi dg clear doff, kami tidak melayani barang setengah jadi, pintu yang kami pasarkan sudah di cat dan kami pasang di lokasi anda."
Raja Bahan Bangunan,Jl. Wonorejo Permai Utara 7/54. BB 529,Surabaya • Jawa Timur,,bahan-bangunan,
PT.INTIMEGAH MITRA SEJAHTERA,"JL.Hr.rasunan said kuningan, jakarta selata",jakarta • Jakarta,,bahan-bangunan,"PT.INTIMEGAH MITRA SEJAHTERA
 HARGA SEMEN TIGA RODA
 Nama Produk Jenis Harga
 Semen Tiga Roda 50kg PC Rp. 62.000, -
 Semen Tiga Roda 40kg Portland Cement Rp. 52.000, -
 
 HARGA SEMEN HOLCIM
 Nama Produk Jenis Harga
 Semen Holcim 50kg PC Rp. 62.000, -
 Semen Holcim 40kg Portland Cement Rp. 51.000, -"
PT Bintang Binamitra,kompleks duta merlin blok e 14 - 15 gajah mada 3 - 5,jakarta pusat • Jakarta,,bahan-bangunan,"Perusahan tambang yang berasal dari Belitung dan bergerak di bidang tambang pasir, tanah liat, Tongkang dan pengangkutan dengan menggunakan truck tronton.
 Telah berdiri sejak 1995 dan mensupply lebih dari 30 pabrik besar di Indonesia seperti Adhimix, Mulia dan lain lain
 untuk lebih lanjut dapat di"
Sukalaptop Online Shop,Online Sho,Jakarta • Jakarta,,bahan-bangunan,"Kami bergerak di bidang penjualan laptop dan netbook dengan harga terjangkau dan berkualitas.
 
 Kami sudah berpengalaman dalam melayani penjualan laptop dan komputer ke kota-kota besar di Indonesia, seperti : JAKARTA, MAKASSAR, JAYAPURA , SORONG
 
 Jika Ingin mengetahui produk lengkap kami silakan"
PT.Sinar Sakti Kimia,"Jl. Raya Solo - Sukoharjo Km. 7,2 Teluka",Sukoharjo • Jawa Tengah,,bahan-bangunan,"Kami adalah produsen Waterglass/ Sodium silikate.
 Berdiri sejak tahun 1995 di Jawa Tengah Solo Sukoharjo.
 Pelanggan2 kami adalah Pabrik2 Keramik, Sabun, Kertas, Textil, kimia dll."
zirr-O,"Jl. Danakarya no. 39A, Pasar Rebo",Jakarta Timur • Jakarta,,bahan-bangunan,"desain grafis: stasionary, brosur, logo, profile perusahaan, kalender, kemasan produk, branding mobil, banner, poster, flier, buku katalog, dan juga branding sticker mobil, pemasangan sticker, print digital, branding gedung/ bangunan, percetakan, kemasan, dll."
CV. SURYA ADITAMA PUTRA,Jl. Hamkam no.210 jatirahayu - bekasi selata,Bekasi Selatan • Jawa Barat,081285725056,bahan-bangunan,"CV. SURYA ADITAMA PUTRA
 Jl. Hamkam no.210 jatirahayu - bekasi selatan
 Hp : 0812 8572 5056
 Email : cv.suryaaditama@ gmail.com
 
 Kami Siap Mengantarkan Pesanan Anda Keseluruh Indonesia.
 
 Garansi Uang Kembali ! ! ! 
 Apabila Barang Yang Anda Terima Tidak Sesuai
 Dengan Apa Yang Kami Deskripsikan"
JAWA STEEL,Jl. Bubutan No. 117 A,Surabaya • Jawa Timur,08525911088,bahan-bangunan,"Perusahaan Surabaya yang berdiri sejak tahun 1973  yang memproduksi pintu besi harmonika, rolling door, rangka atap baja ringan, plafon dan kusen aluminium. Kami melayani pembelian material dan pemasangan untuk proyek sub kontraktor dan perorangan. Mengutamakan harga yang terjangkau, menjaga mutu dan pelayanan yang baik. Hub: HOTLINE 085259116288."
Jakarta permai,city resort blok H no:16 cengkareng-jakarta barat,Jakarta • Jakarta,,bahan-bangunan,memproduksi pintu besi yang dipress bermotif kayu dengan cat powder coating.
Central Park | Tukang Taman Murah | Phone : 021 834 99515,Jl. Raya Parung - Citayam No. 21 Tajurhalang,Bogor • Jawa Barat,02183499515/08998782554,bahan-bangunan,tukang taman | 021 834 99515 | + 62-899-878-2554 | www.webtukangtaman.blogspot.com | tukang taman murah | rumput gajah mini | tukang kolam | tukang tanaman | taman minimalis | batu alam | tukang taman jakarta | pembuatan relief | perawatan taman | pemesanan | pusat tanaman hias | jenis - jenis tanam
PT Sultan Sentosa,"ILP Centre, R.L3-08 3rd FL, Jalan Raya Pasar Minggu no.39A",Jakarta Selatan • Jakarta,,bahan-bangunan,"Pipa, Flange, Fitting, Valve, Tube, Plate & customized material dari pabrikan terkemuka & bersertifikat
 Tipe : Seamless, Welded Grade PSL1 & PSL 2
 Material Karbon, Stainless, Low Temp, Alloy, Cu-Ni, Titanium, Duplex dan lain-lain sesuai order.
 Supply untuk semua jenis industri seperti Oil & Gas,"
Lantai Vinyl Gerflor LG Hausys Jual Lantai Rubber Rephouse Porplastic INDONESIA Kontraktor,Ruko Scientia Paskal Timur No 5 Gading Serpong,Tangerang • Banten,,bahan-bangunan,"Kami adalah perusahaan dibidang pengadaan dan pemasangan Lantai Vinyl dan Lantai Rubber serta Sport Equipment. Kami sudah berpengalaman lebih dari 15 tahun dan telah mengerjakan proyek Lantai Vinyl dan Lantai Rubber ratusan proyek. Jika anda berminat silakan hubungi kami: 
 
 PT Jasa Utama Karya Cem"
muhammadadamgroup,jln.nurul rt.12/ rw.02 no.45,jakarta • Jakarta,,bahan-bangunan,SALAH SATUPERUSAHAAN YANG BERGERAK DIBIDANG KAYU MAHONI
Gallery Kunci,Jl. Basuki Rahmad 200,Lamongan • Jawa Timur,,bahan-bangunan,"Jual Aksesoris Pintu Rumah, handle pintu, kunci pintu rumah, tarikan lemari, kunci lemari, obeng, tang, meteran, dll"
PT. Global Metal Engineering,Jl. Pluit Samudra Raya No.9,Jakarta Utara • Jakarta,,bahan-bangunan,"Pipe & Tube, Studded & Finned Tube, Heat Exchanger & Air Cooler, Sealing Products, Heat Transfer & Combution Engineering"
Lantai Vinyl Gerflor LG Hausys Jual Lantai Rubber Rephouse Porplastic INDONESIA Kontraktor,Ruko Scientia Paskal Timur No 5 Gading Serpong,Tangerang • Banten,,bahan-bangunan,"Kami adalah perusahaan dibidang pengadaan dan pemasangan Lantai Vinyl dan Lantai Rubber serta Sport Equipment. Kami sudah berpengalaman lebih dari 15 tahun dan telah mengerjakan proyek Lantai Vinyl dan Lantai Rubber ratusan proyek. Jika anda berminat silakan hubungi kami: 
 
 PT Jasa Utama Karya Cem"
CV RADJA MAIWA,jl st. sulaiman kel. sambutan kec. sambuta,samarinda • Kalimantan Timur,,bahan-bangunan,"Kami perusahaan Kayu Olahan khusus produk kayu ULIN
 Melayani produk lokal dalam negeri - Indonesia
 Untuk volume order partai ataupun skala project
 Meliputi wilayah : Jakarta - Bali - Batam - dll.
 
 Produk kami dengan meliputi jenis : 
 
 DECKING : 1.9 X 9/ 8/ 7 X 150-400 CM
 DECKING : 1.7 X 9/ 8"
Karya Bersama Aluminium,"Jl. Sumatra Blok H1/4, RT002/005, Nusa Loka, Kel. Rawa Mekar Jaya, Kec. Serpong",Tangerang Selatan • Banten,,bahan-bangunan,"Jasa Pembuatan Kusen pintu, jendela, etalase, rombong, partisi aluminium."
Zulva Antique,Jl. Raya Kudus - Pati km 7- golan tepus Rt06 Rw 06 No. 868,Kudus • Jawa Tengah,,bahan-bangunan,"Kami menjual barang barang dan koleksi antik, dari keindahan peninggalan seni keindahan masa lalu di Indonesia, seperti mebel, Jam dinidng, jam meja, Radio2 tabung lama dan lain2"
CV. PELANGI,jL. Sutan syahtril 51 Taliwang Kabupaten Sumbawa Barat,Sumbawa • Nusa Tenggara Barat,,bahan-bangunan,"CV. PELANGI pada Tanggal 18 April 2006 di Taliwang Kab. Sumbawa Barat Nusa Tenggara Barat. merupakan suatu perusahaan mitra kerja yang sepenuhnya milik Nasional yang bergerak dibidang General Contractor dan Supplier, Dengan bermodal pengetahuan dan pengalaman yang luas dibidangnya baik proyek Pemeri"
D Expo Bangunan,JL. CItra Raya Utama Timur Blok L7 No.1. Citra Raya Cikupa Tangerang,Tangerang • Banten,,bahan-bangunan,"Kami perusahaan yang bergerak dalam bidang modern market retail bahan-bahan bangunan yang berdomisili di daerah Citra Raya Cikupa Kabupaten Tangerang. Kami menyediakan seluruh kebutuhan bahan-bahan bangunan yang anda butuhkan, di mulai dari pekerjaan struktur ( besi, semen, pasir, mortar, split, bat"
ASOSIASI PEKERJA KONSTRUKSI JAWA TIMUR (APSIJATIM),Jl. Arjuno Gg. 3 No. 14,Probolinggo • Jawa Timur,,bahan-bangunan,"Asosiasi Pekerja Konstruksi Jawa Timur (APSIJATIM), organisasi ini terbentuk pada tanggal 8 Maret 2004 yang disahkan oleh Notaris setempat. Berkantor pusat di daerah Probolinggo-Jawa Timur. Anggota APSIJATIM terdiri dari para pekerja konstruksi ; tukang las, tukang besi, tukang kayu, tukang batu, tu"
Sion Artglass,Jl.45 No. 16 Ledug,Purwokerto • Jawa Tengah,,bahan-bangunan,Sion Art Glass telah berdiri sejak Juni 2006.Kami adalah perusahaan yang bergerak dibidang kerajinan kaca seni yang banyak diaplikasikan untuk interior maupun eksterior. Kami didukung oleh tenaga - tenaga yang ahli dibidangnya.
PT.MULIA JAYA TRACKINDO,Jl. DI Panjaitan Kav. 41 No : 108,jakarta timur • Jakarta,,bahan-bangunan,"Selamat datang di PT Mulia Jaya Trackindo, sebuah perusahaan Sewa | Penyewaan Alat Berat yang telah berkecimpung dalam dua generasi. Melalui dukungan Heavy Lifting & Heavy Equipment yang lengkap dan JUGA dukungan sumber daya manusia yang tangguh dan berpengalaman kami hadir untuk Anda. Berbagai proy"
www.ShoppingOnline.TV,"Jl. Agung Permai 21/2, Sunter",Jakarta Utara • Jakarta,,bahan-bangunan,"ShoppingOnline.tv adalah sebuah Internet Shopping Media, yang didedikasikan bagi pelanggan untuk berbelanja produk dan komoditi melalui media Internet agar memberikankan pelanggan lebih mudah dan praktis dalam berbelanja."
Teguh Teknik Spear Part AC & R,Jl.STPI Curug Km 1 No 19,Tangerang Tengah • Banten,,bahan-bangunan,"kontraktor pengkondisian udara dan refrigerasi ( penjualan, perawatan, perbaikan)"
PT.Agas Sidoarjo,urya residans claster shappire f2 no 9 desa damarsi buduran sidoarjo,Sidoarjo • Jawa Timur,,bahan-bangunan,"Maju dan berkembang sebagai perusahaan trading, distributor dan supiler yang dapat menyediakan permintaan pelanggan / rekanan akan kebutuhan jasa pengadaan barang-barang kebutuhan industri,  pertanian dan perkebunan yang bisa didapatkan secara efisien dan efektif dan terus menerus , menjaga dan"
Fajartech,andulan 8 k2/40,malang • Jawa Timur,,bahan-bangunan,"Perusahaan kami produsen alat-alat Pendingin susu ( milk cooling) , pasteurisasi, tanki susu, pemecah lemak, cold storage, pegaduk dodol dan mesin industri lainnya, semua model atau kapasitasnya bisa disesuaikan dengan kebutuhan anda.
 
 "" Terbukti harga kami paling kompetitif..! """
Dimas Jaya,kampung cayur,serang • Banten,,bahan-bangunan,"kami merupakan produsen/ supplier batu bata merah press dengan ukuran bata ( P 20cm x L 10cm x T 4cm) kami siap memenuhi kebutuhan batu bata merah untuk pembangunan mega proyek anda. produk batu bata merah press kami memiliki keunggulan ( lebih kuat, padat dan tidak mudah hancur) karena kami hany"
PT. BEZ Makmur Indonesia,Ruko Cibubur Country Blok RBOI No. 6 Cikea,Bogor • Jawa Barat,,bahan-bangunan,"Perusahaan kami bergerak dalam bidang distribusi bahan baku dan hasil jadi makanan dan minuman.
 Produk yang kami jual antara lain : 
 SUSU FULL CREAM, NDC ( krimer nabati) , Kopi Instant, Choco Powder, Black Powder, Flavor : 
 
 # Coklat BT 1000 A, 1000 HA, 
 # Black Cocoa BT 910
 # Black Cocoa Lok"
Bagong Teknik Steel,Jl Lempongsari no 58 C,Yogyakarta • Yogyakarta,,bahan-bangunan,"Penyedia, Distributor dan Supplier Online Material keperluan Proyek bidang Mekanikal
 Sub pekerjaan bidang Plumbing, Hydrant, Fire alarm, etc.
 Melayani Kontraktor , Sub Kontraktor, Toko, Individual, Harga yang kompetitif dan Barang berkualitas adalah Prioritas kami.Menjual serta mensuplai Material"
PT.SEMEN INDONESIA,Jl.Let jend Soeprapto Ruko Cempaka Mas Blok B7 No.1,Jakarta Pusat • Jakarta,,bahan-bangunan,"PT.SEMEN INDONESIA Kami menjual segala merek semen untuk keperluan pembangunan
 SEMEN
 - SEMEN TIGA RODA
 - SEMEN BARU RAJA
 - SEMEN PADANG
 - SEMEN HOLCIN
 - SEMEN KUJANG
 - SEMEN GRESIK
 SEMEN PUTIH
 - SEMEN PUTIH TIGA RODA ( WC) 
 - SEMEN PUTIH TIGA RODA ( WM) 
 - SEMEN PUTIH PANDA
 - PLAMUR KING"
PT. GOLDEN SURYA MANDIRI,JL. BUKIT DARMO GOLF R - 17,SURABAYA • JAWA TIMUR,,bahan-bangunan,"Golden surya mandiri adalah sebuah perusahaan trading dengan peralatan dan perlengkaoan rumah tangga, khusunya karpet lantai, vinyl flooring, terpal roll dan terpal tenda. Produk asal dari eropa, korea dan cina.Kami siap mendukung dan bekerjasama untuk berkembang dan maju bersama-sama dengan m"
PT. Intertek Multi Persada,MGK Kemayoran LT GF A8 no 9,DKI Jakarta • Jakarta,,bahan-bangunan,Kami adalah perusahaan yang bergerak di bidang pengadaan barang barang kebutuhan industri terutama di biang instrumentasi dan teknik.
Arquitectura Indonesia,Jl Swadarma Raya no 38,Jakarta • Jakarta,,bahan-bangunan,
dorma2nd door closser,Jl. Karah 2/7 A,Surabaya • Jawa Timur,,bahan-bangunan,"BTS80 Series penutup pintu lantai tersembunyi BTS80 Series, yang memiliki kemampuan beradaptasi terhadap hampir semua instalasi. Yang memiliki kemampuan untuk mengetahui posisi pengguna yang mendekat kearah pintu. Fleksibilitas yang memungkinkan instalasi dalam beton konstruksi subfloor tipis. Berba"
"ISANO, PD",Jl. Tentara Pelajar no. 104,purworejo • Jawa Tengah,,bahan-bangunan,"ISANO ADALAH PERUSAHAAN DISTRIBUSI UTK PRODUK PIPA uPVC AW/ D, PVC SNI SCJ/ RRJ , HDPE, MDPE PIPE FOR GAS, FITING PVC, FITING BUTT-WELD PE, PIPA LISTRIK DAN CONDUIT MERK UNILON. SERTIFIKASI SNI DAN JIS. DISTRIBUTOR/ AGEN UTK JAWA TENGAH, YOGYAKARTA, NUSA TENGGARA TIMUR( NTT) , KALIMANTAN TENGAH.
 PI"
CV. GIRI KELING PUTRA,"Kp. Gulacir, Ds. Sukabares, RT 009 / RW 003, Kec. Waringinkurung",Serang • Banten,,bahan-bangunan,"CV. GIRI KELING PUTRA
 ( Member of Berjaya Group ) 
 
 BIDANG USAHA : 
 
 * PENAMBANGAN PASIR.
 Dengan lokasi Di Serang - Banten, kami siap melayani permintaan pasir, dan cadas dengan kapasitas produksi yang besar untuk memenuhi kebutuhan proyek anda.
 
 * RENTAL EXCAVATOR
 ( on behalf CV. Mutiara B"
Wijaya Stone Indonesia,"Jl. Nyi Ageng Serang No.52, Balad - Dukupuntang - Cirebo",Sumber •,,bahan-bangunan,Bergulat perdagangan umum
Maju Mapan Metalwork,Jl Pahlawan 1 rt/rw: 003/009 Gedanga,Sidoarjo • Jawa Timur,,bahan-bangunan,"Spesialist pemasangan : 
 * Rangka Atap Baja Ringan ( Galvalume ) 
 * Plafond ( Ceiling) 
 * Partisi
 * List Gypsum
 * Aluminium Works ( kusen, pintu, jendela, kitchen set, almari, dll ) 
 * Pagar
 * Railing
 * Kanopi
 * Bongkar pasang atap, dll"
Panca Jaya Company,RS Soekanto No. 42,Duren Sawit • Jakarta,,bahan-bangunan,"PANCA JAYA COMPANY MEMBERIKAN PELAYANAN DAN SOLUSI YANG TERBAIK BAGI PELANGGAN.
 Perusahaan kami bergerak di bidang industri penyediaan sbb: 
 - Sparepart Motor, Suku Cadang Motor
 - Hidrolik Mobil ( Peralatan Cuci Mobil dan Cuci Motor ) 
 - Produksi, Penjualan Jackbase, Uhead dan Scaffolding ( Steg"
Kusuma Rel,Taman Landungsari Indah Blok G no 3 Dau Malang,Malang • Jawa Timur,,bahan-bangunan,"Kami agen dari PT. Karya Mandiri Sepakat produsen pintu besi dan komponen merk “ Wina” hadir untuk menyempurnakan garasi anda. Komponen pintu garasi diciptakan dengan model menggantung dengan sistem sliding ( tikung) dan folding ( lipat) sehingga pintu tidak anjlok. Komponen juga bisa untuk pemasangan pintu kayu, aluminium dan pintu buatan bengkel."
CV. Swastika Logamindo Utama,Tegalrejo RT 02 RW 06 Ceper Klate,Klaten • Jawa Tengah,,bahan-bangunan,"Dari sebuah tradisi kami melangkah menempa diri, menggali segenap kemampuan untuk mengukir prestasi dan menggoreskan pena sejarah. kami adalah salah satu dari sekian banyak industri pengecoran logam. dikawasan industri ceper, klaten, jawa tengah.
 
 Dari semangat untuk mewarisi tradisi para pendahul"
